"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"452-26","25114","Księże Małe","","51.077843","17.083636","","","0","","","0","",""
"452-40","12102","Wrocławski Park Przemysłowy","","51.112567","16.994232","","","0","","","0","",""
"452-46","227911","Krzyżanowice","","51.174092","17.048878","","","0","","","0","",""
"452-52","29537","Starodębowa","","51.167305","17.105901","","","0","","","0","",""
"452-63","18354","Brzezińska","","51.149436","16.866637","","","0","","","0","",""
"452-77","18374","Polkowicka","","51.155263","16.87307","","","0","","","0","",""
"452-78","18373","Polkowicka","","51.155432","16.873463","","","0","","","0","",""
"452-80","18372","Wolska","","51.146911","16.869379","","","0","","","0","",""
"452-96","18703","Wełniana","","51.16118","16.904489","","","0","","","0","",""
"452-101","18718","Zbożowa","","51.17353","16.912152","","","0","","","0","",""
"452-102","18719","Zbożowa","","51.173418","16.912941","","","0","","","0","",""
"452-125","12711","Kolista","","51.132737","16.973881","","","0","","","0","",""
"452-127","12702","Kolista","","51.132696","16.972611","","","0","","","0","",""
"452-148","18318","Miodowa","","51.135148","16.848742","","","0","","","0","",""
"452-181","17702","Szczecińska","","51.122451","16.930996","","","0","","","0","",""
"452-182","17701","Szczecińska","","51.122551","16.930779","","","0","","","0","",""
"452-192","12502","Park Zachodni","","51.128791","16.972867","","","0","","","0","",""
"452-193","12501","Park Zachodni","","51.129853","16.970938","","","0","","","0","",""
"452-200","12517","Hynka","","51.122462","16.962154","","","0","","","0","",""
"452-201","12518","Hynka","","51.122378","16.961605","","","0","","","0","",""
"452-204","12511","Na Ostatnim Groszu","","51.12318","16.975078","","","0","","","0","",""
"452-206","12513","Orlińskiego","","51.122121","16.97192","","","0","","","0","",""
"452-207","12514","Orlińskiego","","51.122517","16.972911","","","0","","","0","",""
"452-229","10514","Szczepin","","51.117094","17.007967","","","0","","","0","",""
"452-230","10513","Szczepin","","51.11772","17.007535","","","0","","","0","",""
"452-242","10501","PL. Jana Pawła Ii","","51.112154","17.020725","","","0","","","0","",""
"452-282","11727","Aleja Pracy","","51.091282","16.986556","","","0","","","0","",""
"452-284","11723","Aleja Pracy","","51.09187","16.985373","","","0","","","0","",""
"452-285","11744","Ojca Beyzyma","","51.090338","16.992132","","","0","","","0","",""
"452-286","11743","Ojca Beyzyma","","51.090647","16.992286","","","0","","","0","",""
"452-287","11746","Ślusarska","","51.08416","16.99038","","","0","","","0","",""
"452-288","11745","Ślusarska","","51.084761","16.990518","","","0","","","0","",""
"452-293","111603","Hutmen","","51.096127","16.985988","","","0","","","0","",""
"452-294","111604","Hutmen","","51.095897","16.98577","","","0","","","0","",""
"452-307","11522","Krucza","","51.093423","17.008368","","","0","","","0","",""
"452-309","11511","Krucza","","51.094424","17.010782","","","0","","","0","",""
"452-311","11512","Krucza","","51.095053","17.00862","","","0","","","0","",""
"452-320","11344","Drukarska","","51.089774","17.021391","","","0","","","0","",""
"452-15","12525","Metalowców","","51.133826","16.956735","","","0","","","0","",""
"452-27","25113","Księże Małe","","51.077","17.084407","","","0","","","0","",""
"452-33","20312","pl. Wróblewskiego","","51.105343","17.048934","","","0","","","0","",""
"452-47","23724","Bagatela","","51.152213","17.070059","","","0","","","0","",""
"452-64","18344","Mokrzańska","","51.147309","16.854188","","","0","","","0","",""
"452-76","18733","Bojanowska","","51.165326","16.881899","","","0","","","0","",""
"452-84","18128","Stabłowice","","51.156493","16.891388","","","0","","","0","",""
"452-85","18125","Ciechocińska","","51.152764","16.884055","","","0","","","0","",""
"452-99","18514","Lubelska","","51.163486","16.919265","","","0","","","0","",""
"452-106","18507","Północna","","51.157556","16.933517","","","0","","","0","",""
"452-112","18523","Turoszowska","","51.153052","16.947632","","","0","","","0","",""
"452-113","18536","Dworska","","51.143606","16.953448","","","0","","","0","",""
"452-120","12736","Kozanów","","51.137518","16.968817","","","0","","","0","",""
"452-123","12715","Dzielna","","51.138859","16.974748","","","0","","","0","",""
"452-132","18104","Grabowa","","51.139785","16.922275","","","0","","","0","",""
"452-135","18101","Glinianki","","51.138506","16.934432","","","0","","","0","",""
"452-136","18108","Złotnicka","","51.14378","16.890551","","","0","","","0","",""
"452-142","18312","Średzka","","51.145356","16.866608","","","0","","","0","",""
"452-146","18316","Trzmielowicka","","51.140958","16.854608","","","0","","","0","",""
"452-149","18317","Miodowa","","51.135558","16.848941","","","0","","","0","",""
"452-151","18319","Szkolna","","51.132561","16.848118","","","0","","","0","",""
"452-155","18323","Gromadzka","","51.129231","16.85488","","","0","","","0","",""
"452-156","18333","Las Ratyński","","51.123517","16.833071","","","0","","","0","",""
"452-167","17715","Adamczewskich","","51.120953","16.869562","","","0","","","0","",""
"452-179","17703","Żerniki","","51.123633","16.922951","","","0","","","0","",""
"452-183","12128","Kołobrzeska","","51.121031","16.945413","","","0","","","0","",""
"452-188","18145","Złotniki","","51.139506","16.891667","","","0","","","0","",""
"452-198","12541","Bystrzycka","","51.124057","16.958071","","","0","","","0","",""
"452-203","12515","Drzewieckiego","","51.121796","16.967747","","","0","","","0","",""
"452-205","12512","Na Ostatnim Groszu","","51.12339","16.976541","","","0","","","0","",""
"452-212","12303","Kwiska","","51.125582","16.98342","","","0","","","0","",""
"452-235","10511","Inowrocławska","","51.115438","17.015289","","","0","","","0","",""
"452-240","10502","PL. Jana Pawła Ii","","51.11175","17.020468","","","0","","","0","",""
"452-265","17504","Zagłoby","","51.109542","16.930248","","","0","","","0","",""
"452-275","17308","Krzemieniecka","","51.096734","16.9549","","","0","","","0","",""
"452-276","17309","Końcowa","","51.095821","16.962452","","","0","","","0","",""
"452-278","11714","Ostrowskiego","","51.09504","16.973879","","","0","","","0","",""
"452-303","11514","Grochowa","","51.097176","17.004035","","","0","","","0","",""
"452-25","25314","Bieńkowice","","51.047709","17.09102","","","0","","","0","",""
"452-29","21101","Dyrekcyjna","","51.094301","17.032229","","","0","","","0","",""
"452-30","10381","pl. Orląt Lwowskich","","51.107133","17.019394","","","0","","","0","",""
"452-44","23541","Poświęcka (Ośrodek zdrowia)","","51.156499","17.032098","","","0","","","0","",""
"452-51","29535","Pawłowice","","51.165488","17.106494","","","0","","","0","",""
"452-54","29536","Malwowa","","51.166928","17.109985","","","0","","","0","",""
"452-65","18343","Mokrzańska","","51.147543","16.853122","","","0","","","0","",""
"452-66","90336010","Wilkszyn - Polna","","51.189049","16.866196","","","0","","","0","",""
"452-71","18724","Wilkszyńska","","51.173644","16.88622","","","0","","","0","",""
"452-73","18721","Marszowice","","51.167406","16.891198","","","0","","","0","",""
"452-74","18722","Marszowice","","51.167852","16.890496","","","0","","","0","",""
"452-75","18734","Bojanowska","","51.165129","16.881358","","","0","","","0","",""
"452-79","18371","Wolska","","51.146661","16.869355","","","0","","","0","",""
"452-83","18127","Stabłowice","","51.15567","16.890097","","","0","","","0","",""
"452-86","18126","Ciechocińska","","51.152557","16.883497","","","0","","","0","",""
"452-91","18707","Główna","","51.163635","16.896688","","","0","","","0","",""
"452-100","18513","Lubelska","","51.163916","16.919147","","","0","","","0","",""
"452-103","18716","Janówek (Woś)","","51.19174","16.906083","","","0","","","0","",""
"452-105","18508","Północna","","51.157032","16.93446","","","0","","","0","",""
"452-115","12707","Górnicza","","51.140627","16.958257","","","0","","","0","",""
"452-116","12731","Górnicza","","51.14059","16.959204","","","0","","","0","",""
"452-119","12704","Modra","","51.136255","16.96677","","","0","","","0","",""
"452-122","12716","Dzielna","","51.138634","16.97689","","","0","","","0","",""
"452-128","12701","Kolista","","51.133462","16.971728","","","0","","","0","",""
"452-133","18103","Grabowa","","51.140056","16.920947","","","0","","","0","",""
"452-134","18102","Glinianki","","51.138119","16.936284","","","0","","","0","",""
"452-139","18141","Złotnicka","","51.143626","16.889347","","","0","","","0","",""
"452-147","18315","Trzmielowicka","","51.141709","16.85533","","","0","","","0","",""
"452-150","18320","Szkolna","","51.131608","16.848173","","","0","","","0","",""
"452-153","98325","Ratyń","","51.12976","16.860487","","","0","","","0","",""
"452-166","17716","Adamczewskich","","51.120844","16.869535","","","0","","","0","",""
"452-180","17704","Żerniki","","51.123093","16.924834","","","0","","","0","",""
"452-184","12127","Kołobrzeska","","51.121197","16.944961","","","0","","","0","",""
"452-199","12542","Bystrzycka","","51.123333","16.958751","","","0","","","0","",""
"452-202","12516","Drzewieckiego","","51.121581","16.967909","","","0","","","0","",""
"452-247","10548","Śrubowa","","51.112432","17.00101","","","0","","","0","",""
"452-266","17503","Zagłoby","","51.109804","16.928","","","0","","","0","",""
"452-271","17303","Muchobór Wielki","","51.098864","16.941275","","","0","","","0","",""
"452-16","12526","Metalowców","","51.133089","16.959218","","","0","","","0","",""
"452-35","20332","Krasińskiego","","51.105859","17.043341","","","0","","","0","",""
"452-50","29517","Kłokoczyce","","51.156961","17.096282","","","0","","","0","",""
"452-55","29507","Zakrzów","","51.162271","17.12515","","","0","","","0","",""
"452-61","18355","Dolnobrzeska","","51.155018","16.859414","","","0","","","0","",""
"452-62","18356","Dolnobrzeska","","51.15501","16.85903","","","0","","","0","",""
"452-72","18732","Marszowice","","51.166865","16.890124","","","0","","","0","",""
"452-81","18129","Park Stabłowicki","","51.159677","16.89369","","","0","","","0","",""
"452-82","18130","Park Stabłowicki","","51.160189","16.893706","","","0","","","0","",""
"452-87","18123","Śnieżna","","51.149684","16.879358","","","0","","","0","",""
"452-88","18124","Śnieżna","","51.149506","16.878931","","","0","","","0","",""
"452-89","18121","Jeleniogórska","","51.145628","16.876024","","","0","","","0","",""
"452-90","18122","Jeleniogórska","","51.146327","16.876393","","","0","","","0","",""
"452-97","18701","Chwałkowska","","51.159797","16.910141","","","0","","","0","",""
"452-98","18702","Chwałkowska","","51.159524","16.91076","","","0","","","0","",""
"452-104","18715","Janówek (Woś)","","51.191721","16.906301","","","0","","","0","",""
"452-114","12708","Górnicza","","51.139902","16.959414","","","0","","","0","",""
"452-124","12713","Wiślańska","","51.135918","16.979048","","","0","","","0","",""
"452-129","12503","Metalowców","","51.132747","16.958292","","","0","","","0","",""
"452-143","18311","Średzka","","51.145286","16.866349","","","0","","","0","",""
"452-154","18324","Gromadzka","","51.129244","16.853871","","","0","","","0","",""
"452-171","17733","Gałowska","","51.113236","16.845091","","","0","","","0","",""
"452-172","17734","Gałowska","","51.113518","16.845243","","","0","","","0","",""
"452-177","17705","Strachowicka","","51.123515","16.91907","","","0","","","0","",""
"452-178","17706","Strachowicka","","51.123675","16.916874","","","0","","","0","",""
"452-185","18143","Wielkopolska","","51.140588","16.88757","","","0","","","0","",""
"452-191","18109","Wschowska","","51.145162","16.880221","","","0","","","0","",""
"452-195","12911","Kuźniki","","51.123839","16.94995","","","0","","","0","",""
"452-196","12902","Hermanowska","","51.122179","16.955776","","","0","","","0","",""
"452-197","12901","Hermanowska","","51.122329","16.955835","","","0","","","0","",""
"452-211","12304","Kwiska","","51.124713","16.984411","","","0","","","0","",""
"452-231","10510","Głogowska","","51.117426","17.003531","","","0","","","0","",""
"452-232","10509","Głogowska","","51.117696","17.004025","","","0","","","0","",""
"452-236","10512","Inowrocławska","","51.115587","17.013961","","","0","","","0","",""
"452-269","17508","Graniczna","","51.10836","16.910075","","","0","","","0","",""
"452-281","11712","Fat","","51.094126","16.978353","","","0","","","0","",""
"452-283","11724","Aleja Pracy","","51.092259","16.986416","","","0","","","0","",""
"452-299","11722","Inżynierska","","51.09454","16.991964","","","0","","","0","",""
"452-321","11343","Drukarska","","51.090069","17.020233","","","0","","","0","",""
"452-336","11365","Park Południowy","","51.073637","17.012495","","","0","","","0","",""
"452-339","16511","Przyjaźni","","51.067866","17.003773","","","0","","","0","",""
"452-340","16512","Przyjaźni","","51.068768","17.004743","","","0","","","0","",""
"452-348","26334","Ołtaszyn","","51.058091","17.023427","","","0","","","0","",""
"452-388","16506","Klecina","","51.065407","16.987425","","","0","","","0","",""
"452-389","16531","Klecina","","51.065338","16.986754","","","0","","","0","",""
"452-394","16518","Wawrzyniaka","","51.076586","16.996855","","","0","","","0","",""
"452-395","16517","Wawrzyniaka","","51.078074","16.998202","","","0","","","0","",""
"452-396","11307","Krzyki","","51.075272","17.006664","","","0","","","0","",""
"452-397","17115","Morelowskiego","","51.069681","16.968952","","","0","","","0","",""
"452-398","17116","Morelowskiego","","51.070226","16.968253","","","0","","","0","",""
"452-422","25115","Zagłębiowska","","51.072755","17.089141","","","0","","","0","",""
"452-439","21149","Klimasa","","51.0799","17.062373","","","0","","","0","",""
"452-440","21150","Klimasa","","51.080162","17.062471","","","0","","","0","",""
"452-452","21129","Morwowa","","51.075913","17.051909","","","0","","","0","",""
"452-461","21142","Borowska (Aquapark)","","51.088067","17.036474","","","0","","","0","",""
"452-462","21141","Borowska (Aquapark)","","51.087937","17.036053","","","0","","","0","",""
"452-466","25304","Topolowa","","51.069465","17.080419","","","0","","","0","",""
"452-467","25303","Topolowa","","51.069596","17.080114","","","0","","","0","",""
"452-469","25310","Brochów","","51.058913","17.087286","","","0","","","0","",""
"452-496","11323","Zielińskiego","","51.098522","17.020505","","","0","","","0","",""
"452-497","11324","Zielińskiego","","51.0981","17.020228","","","0","","","0","",""
"452-520","20315","Na Niskich Łąkach","","51.096684","17.057749","","","0","","","0","",""
"452-531","25510","Opatowicka nr 85","","51.095208","17.123165","","","0","","","0","",""
"452-534","25508","Nowy Dom","","51.093402","17.107066","","","0","","","0","",""
"452-536","25505","Bierdzany","","51.091717","17.092617","","","0","","","0","",""
"452-537","25506","Bierdzany","","51.092117","17.091294","","","0","","","0","",""
"452-540","25513","Zalewowa","","51.090496","17.135079","","","0","","","0","",""
"452-554","24503","Tramwajowa","","51.104217","17.083107","","","0","","","0","",""
"452-555","24516","Monte Cassino","","51.106554","17.10445","","","0","","","0","",""
"452-556","24515","Monte Cassino","","51.106473","17.105159","","","0","","","0","",""
"452-565","24508","Biskupin","","51.101163","17.108354","","","0","","","0","",""
"452-583","24711","Zagrodnicza","","51.107176","17.142242","","","0","","","0","",""
"452-587","24716","Strumykowa","","51.101409","17.157711","","","0","","","0","",""
"452-588","24715","Strumykowa","","51.100476","17.15879","","","0","","","0","",""
"452-607","24303","Śniadeckich","","51.119784","17.077463","","","0","","","0","",""
"452-312","11541","Zaporoska","","51.09654","17.014522","","","0","","","0","",""
"452-314","11531","Zaporoska","","51.096978","17.013558","","","0","","","0","",""
"452-327","11306","Orla","","51.08016","17.008493","","","0","","","0","",""
"452-337","16526","Hippiczna","","51.067944","17.008854","","","0","","","0","",""
"452-346","26315","Strachowskiego","","51.058599","17.013788","","","0","","","0","",""
"452-347","26341","Ołtaszyn","","51.0568","17.022277","","","0","","","0","",""
"452-352","26311","Kurpiów","","51.054675","17.026883","","","0","","","0","",""
"452-353","26307","Gałczyńskiego","","51.055054","17.032211","","","0","","","0","",""
"452-356","26344","Kutrzeby","","51.052352","17.019424","","","0","","","0","",""
"452-386","16503","Os. Przyjaźni","","51.069223","16.99666","","","0","","","0","",""
"452-425","25131","Brochowska","","51.069116","17.09294","","","0","","","0","",""
"452-433","25142","Księska","","51.07679","17.089214","","","0","","","0","",""
"452-451","21133","Świeradowska","","51.076845","17.047999","","","0","","","0","",""
"452-454","21172","Orzechowa","","51.083344","17.039467","","","0","","","0","",""
"452-464","25302","Wiaduktowa","","51.075213","17.076403","","","0","","","0","",""
"452-480","21105","Śliczna","","51.085086","17.034984","","","0","","","0","",""
"452-486","21103","Borowska (Aquapark)","","51.08931","17.033896","","","0","","","0","",""
"452-494","10373","pl. Legionów","","51.103714","17.02271","","","0","","","0","",""
"452-499","10376","Piłsudskiego","","51.102038","17.025302","","","0","","","0","",""
"452-506","11302","Rondo","","51.091149","17.01788","","","0","","","0","",""
"452-532","25503","Międzyrzecka","","51.094362","17.08236","","","0","","","0","",""
"452-535","25507","Nowy Dom","","51.093354","17.10726","","","0","","","0","",""
"452-549","20302","Poczta Główna","","51.107856","17.045637","","","0","","","0","",""
"452-551","24502","Hala Stulecia","","51.107428","17.072674","","","0","","","0","",""
"452-553","24504","Tramwajowa","","51.104291","17.083877","","","0","","","0","",""
"452-564","24517","Bacciarellego","","51.105636","17.110491","","","0","","","0","",""
"452-580","24724","Miłoszycka","","51.116209","17.127718","","","0","","","0","",""
"452-596","24725","Ceglana","","51.121141","17.12104","","","0","","","0","",""
"452-602","24114","Kwidzyńska","","51.131585","17.077954","","","0","","","0","",""
"452-603","24132","Kwidzyńska","","51.130585","17.078338","","","0","","","0","",""
"452-613","24112","Kromera","","51.132378","17.063011","","","0","","","0","",""
"452-614","20724","Mosty Warszawskie","","51.128001","17.054858","","","0","","","0","",""
"452-632","23722","Redycka","","51.148684","17.07557","","","0","","","0","",""
"452-634","23720","Poprzeczna","","51.145781","17.072963","","","0","","","0","",""
"452-640","20718","Trzebnicka","","51.127917","17.036343","","","0","","","0","",""
"452-643","23172","Bałtycka","","51.13718","17.02945","","","0","","","0","",""
"452-644","23143","Bałtycka","","51.138282","17.029374","","","0","","","0","",""
"452-274","17307","Krzemieniecka","","51.096378","16.95695","","","0","","","0","",""
"452-277","17310","Końcowa","","51.095981","16.962151","","","0","","","0","",""
"452-279","11713","Ostrowskiego","","51.095295","16.972879","","","0","","","0","",""
"452-300","11721","Inżynierska","","51.094769","16.991184","","","0","","","0","",""
"452-302","11513","Grochowa","","51.096218","17.005809","","","0","","","0","",""
"452-308","11521","Krucza","","51.093589","17.009933","","","0","","","0","",""
"452-310","11535","Krucza","","51.09413","17.009539","","","0","","","0","",""
"452-315","11542","Zaporoska","","51.097899","17.01466","","","0","","","0","",""
"452-317","11335","Pl. Hirszfelda","","51.09449","17.016335","","","0","","","0","",""
"452-326","11305","Orla","","51.080025","17.007769","","","0","","","0","",""
"452-335","16522","Wyścigowa","","51.070604","17.011365","","","0","","","0","",""
"452-338","16525","Hippiczna","","51.068479","17.008949","","","0","","","0","",""
"452-351","26312","Kurpiów","","51.054882","17.026611","","","0","","","0","",""
"452-355","26343","Kutrzeby","","51.051833","17.018829","","","0","","","0","",""
"452-376","16716","Kwiatkowskiego","","51.058675","16.956349","","","0","","","0","",""
"452-380","16701","Kościelna","","51.063697","16.981382","","","0","","","0","",""
"452-387","16504","Os. Przyjaźni","","51.069573","16.997364","","","0","","","0","",""
"452-390","16516","Chłodna","","51.074986","16.996831","","","0","","","0","",""
"452-392","16513","Sowia","","51.073793","17.001845","","","0","","","0","",""
"452-404","17101","Solskiego","","51.081201","16.967704","","","0","","","0","",""
"452-423","25116","Zagłębiowska","","51.07402","17.088013","","","0","","","0","",""
"452-432","25141","Księska","","51.076394","17.090198","","","0","","","0","",""
"452-450","21134","Świeradowska","","51.077047","17.046238","","","0","","","0","",""
