"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"452-A","452-3","452-3_15877715","Sołtysowice","","1","","452-861633","",""
"452-A","452-3","452-3_15877771","Sołtysowice","","1","","452-861633","",""
"452-A","452-3","452-3_15877819","Sołtysowice","","1","","452-861633","",""
"452-A","452-3","452-3_15878313","Sołtysowice","","1","","452-861633","",""
"452-A","452-3","452-3_15875330","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875334","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875338","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875342","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875354","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875358","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875362","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875366","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875376","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875380","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875384","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875388","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875390","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15877716","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15877820","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878298","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878302","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878306","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878308","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878310","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878314","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878318","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878322","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878326","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878328","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878335","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878339","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878343","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878354","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878358","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878362","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878373","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878377","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15878381","Krzyki","","0","","452-863765","",""
"452-A","452-3","452-3_15875391","Zajezdnia Obornicka","","1","","452-863829","",""
"452-A","452-3","452-3_15878330","Zajezdnia Obornicka","","0","","452-862787","",""
"452-A","452-3","452-3_15878294","Krzyki","","0","","452-863831","",""
"452-A","452-3","452-3_15878331","Krzyki","","0","","452-863831","",""
"452-A","452-3","452-3_15878350","Krzyki","","0","","452-863831","",""
"452-A","452-3","452-3_15878369","Krzyki","","0","","452-863831","",""
"452-A","452-3","452-3_15875331","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875335","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875339","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875343","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875355","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875359","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875363","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875367","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875377","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875381","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875385","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15875389","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15877717","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15877821","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878295","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878299","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878303","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878307","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878309","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878315","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878319","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878323","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878327","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878329","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878332","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878336","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878340","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878344","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878351","Sołtysowice","","1","","452-864753","",""
"452-A","452-3","452-3_15878355","Sołtysowice","","1","","452-864753","",""
